gid,nom,com_nom
2727,Centre de vaccination - Parc d'activité Saint-Ouen-l’Aumône,Saint-Ouen-l'Aumône
2531,UHSI Lille,Lille
1244,Centre de Vaccination - EVRON-,Évron
440,Centre de Vaccination - MAYENNE - Salle polyvalente,Mayenne
1002,Ancienne école Jean Giraudoux - Le Blanc,Le Blanc
406,centre de vaccination CH EMBRUN,Embrun
345,Centre de vaccination - CH Calais,Calais
2532,UHSA LILLE SECLIN,Lille
1005,CH René Muret AP HP (Sevran),Sevran
3164,Centre de PMI et de planification Cannes,Cannes
3166,Centre de PMI et de planification Carros,Carros
619,Salle polyvalente Cuiry de Gien,Gien
1582,Centre de  vaccination CH de Cavaillon,Cavaillon
582,Louviers : maison des sports et associations,Louviers
1225,Centre de vaccination UGECAM d'Illkirch-Graffenstaden ,Illkirch-Graffenstaden
2370,Centre de vaccination de Gueugnon,Gueugnon
2948,Centre de vaccination de Sainte Luce,Sainte-Luce
2951,Centre de vaccination de Fontoy - Mairie,Fontoy
2000,Centre de Vaccination d'Arette,Arette
3165,Centre de PMI et de planification Grasse - Maison des Alpes-Maritimes,Grasse
2235,Grand centre 70,Vesoul
2630,SOS Médecin,Besançon
1284,Lieu de vaccination FRESNES EN WOEVRE - MSP,Fresnes-en-Woëvre
1302,GOUAREC - Bel Air,Gouarec
2533,UHSI NANCY,Nancy
2489,"Centre de vaccination - CPTS BBH, maison communale d'animation",Wormhout
1585,Centre de vaccination éphémère de Morne à l'eau,Morne-à-l'Eau
1637,Centre de vaccination - Lormont Carriet - Salle Léo Lagrange,Lormont
2440,Centre de vaccination éphémère - Centre de formation des sapeurs-pompiers de Saint -Priest ,Saint-Priest
2534,UHSA RENNES,Rennes
1657,Centre de vaccination - Centre municipal de santé,Romainville
592,Centre Municipal de Santé - Gymnase Maurice Baquet,Pantin
23,Centre de vaccination du CH Troyes( ancien LIDL),Troyes
1968,BRUZ - Parc Expo Rennes Aéroport,Bruz
39,Polyclinique de Franche-Comté,Besançon
2535,UHSI RENNES ,Rennes
1287,Lieu de vaccination de COMMERCY (salle du Marlat),Commercy
118,Valognes : salle du chateau,Valognes
1283,Lieu de vaccination de DAMVILLERS - MSP,Damvillers
2536,UHSI BORDEAUX,Talence
2986,Maison de quartier de la Rivière des Galets,La Possession
2541,UHSI Lyon,Lyon
1611,MSP Usson du Poitou,Usson-du-Poitou
2319,Lieu de vaccination d' ETAIN (salle Brasse et Focosi),Étain
2985,Centre de vaccination - OFII ,Cergy
2632,CV éphémère Château-Renard,Château-Renard
2537,UHSA CADILLAC,Cadillac
1397,Centre de vaccination - Châteauneuf-sur-Loire - Espace Florian,Châteauneuf-sur-Loire
1468,CH de Rambouillet,Rambouillet
32,CHRU Tours / Centre de vaccination - réservé aux professionnels en exercice,Tours
2538,UHSA TOULOUSE,Toulouse
810,Centre gérontologique départemental,Marseille
1547,EMV SOS Médecins Paris 17e,Paris
15,Grand centre de vaccination,Charleville-Mézières
65,CH JONZAC (réservé aux professionnels de santé),Jonzac
2320,Lieu de vaccination de Varennes en Argonne (salle polyvalente),Varennes-en-Argonne
3172,RENNES -  Centre Villejean Malifeu (enfants),Rennes
2732,Andros Biars-sur-Cère,Biars-sur-Cère
2638,CV éphémère Jargeau,Jargeau
1048,Hôtel de Ville de Marseille,Marseille
2733,Ratier-Figeac  ,Figeac
1038,Centre de vaccination de l'hôpital de Die,Die
1479,Hôtel Dieu,Paris
1480,LARIBOISIERE AP-HP,Paris
1474,CHSSM-Site de Nemours,Nemours
2728,Centre de vaccination mobile- Bus vaccinal Pas-de-Calais,ARRAS
1589,Centre de vaccination Molsheim ,Molsheim
2734,Centre de vaccination intercommunal de Sarrebourg (gymnase COSEC),Sarrebourg
652,Centre de Vaccination Montargis,Montargis
3173,RENNES - CHU Pontchaillou (enfants),Rennes
2289,Centre de vaccination de Janville - Gymnase Michel Denise,Janville-en-Beauce
2539,UHSI TOULOUSE,Toulouse
940,Centre de vaccination de Ruelle sur Touvre,Ruelle-sur-Touvre
2540,UHSA LYON (Simone Veil),Bron
1481,SAINT-ANTOINE AP-HP,Paris
1475,CHSSM-Site de Fontainebleau,Fontainebleau
2222,22-Grand centre de vaccination (fictif),Saint-Brieuc
